"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","12 years","Kilkenny","Number","1311"
"Population","2011","Both sexes","12 years","Kerry","Number","1941"
"Population","2011","Both sexes","12 years","Longford","Number","561"
"Population","2011","Both sexes","12 years","Louth","Number","1782"
"Population","2011","Both sexes","12 years","Limerick City and County","Number","2505"
"Population","2011","Both sexes","12 years","Leitrim","Number","455"
"Population","2011","Both sexes","12 years","Laois","Number","1173"
"Population","2011","Both sexes","12 years","Meath","Number","2732"
"Population","2011","Both sexes","12 years","Monaghan","Number","873"
"Population","2011","Both sexes","12 years","Mayo","Number","1794"
"Population","2011","Both sexes","12 years","Offaly","Number","1154"
"Population","2011","Both sexes","12 years","Roscommon","Number","912"
"Population","2011","Both sexes","12 years","South Dublin","Number","3652"
"Population","2011","Both sexes","12 years","Sligo","Number","898"
"Population","2011","Both sexes","12 years","Tipperary","Number","2190"
"Population","2011","Both sexes","12 years","Waterford City and County","Number","1568"
"Population","2011","Both sexes","12 years","Westmeath","Number","1216"
"Population","2011","Both sexes","12 years","Wicklow","Number","1901"
"Population","2011","Both sexes","12 years","Wexford","Number","2148"
"Population","2011","Both sexes","13 years","State","Number","59992"
"Population","2011","Both sexes","13 years","Cork City and Cork County","Number","6723"
"Population","2011","Both sexes","13 years","Clare","Number","1658"
"Population","2011","Both sexes","13 years","Cavan","Number","1111"
"Population","2011","Both sexes","13 years","Carlow","Number","711"
"Population","2011","Both sexes","13 years","Dublin City","Number","5079"
"Population","2011","Both sexes","13 years","Donegal","Number","2438"
"Population","2011","Both sexes","13 years","Dún Laoghaire-Rathdown","Number","2573"
"Population","2011","Both sexes","13 years","Fingal","Number","3375"
"Population","2011","Both sexes","13 years","Galway City","Number","705"
"Population","2011","Both sexes","13 years","Galway County","Number","2405"
"Population","2011","Both sexes","13 years","Kildare","Number","2939"
"Population","2011","Both sexes","13 years","Kilkenny","Number","1367"
"Population","2011","Both sexes","13 years","Kerry","Number","2004"
"Population","2011","Both sexes","13 years","Longford","Number","517"
"Population","2011","Both sexes","13 years","Louth","Number","1722"
"Population","2011","Both sexes","13 years","Limerick City and County","Number","2491"
"Population","2011","Both sexes","13 years","Leitrim","Number","416"
"Population","2011","Both sexes","13 years","Laois","Number","1141"
"Population","2011","Both sexes","13 years","Meath","Number","2684"
"Population","2011","Both sexes","13 years","Monaghan","Number","863"
"Population","2011","Both sexes","13 years","Mayo","Number","1753"
"Population","2011","Both sexes","13 years","Offaly","Number","1211"
"Population","2011","Both sexes","13 years","Roscommon","Number","864"
"Population","2011","Both sexes","13 years","South Dublin","Number","3473"
"Population","2011","Both sexes","13 years","Sligo","Number","846"
"Population","2011","Both sexes","13 years","Tipperary","Number","2270"
"Population","2011","Both sexes","13 years","Waterford City and County","Number","1541"
"Population","2011","Both sexes","13 years","Westmeath","Number","1228"
